Boat Type,Manufacturer,Type,Year Built,Length,Width,Material,EUR_price,Country,City,Number of views last 7 days
Center console boat,Terhi power boats,new boat from stock,2020.0,4.0,1.5,Thermoplastic,3490.0,Germany, BÃ¶nningstedt,75
Fishing Boat,Linder power boats,new boat from stock,2019.0,3.55,1.46,Aluminium,3399.0,Germany, Bayern ,58
Sport Boat,GS Nautica power boats,Used boat,2004.0,4.7,2.0,GRP,3500.0,Italy, Lake Garda ,69
Runabout,Kimple power boats,new boat from stock,2020.0,4.4,1.65,Aluminium,4554.0,Switzerland, Zugersee ,113
Fishing Boat,Linder power boats,new boat from stock,2019.0,3.55,1.46,Aluminium,3999.0,Germany, Bayern ,69
Fishing Boat,Linder power boats,new boat from stock,2018.0,3.55,1.46,Aluminium,3989.7,Switzerland, VierwaldstÃ¤ttersee ,130
Fishing Boat,Terhi power boats,new boat from stock,2020.0,4.01,1.5,Thermoplastic,3935.25,Switzerland, Horgen,512
Sport Boat,MÃ¤ndli power boats,Used boat,1996.0,4.84,1.58,GRP,3910.5,Switzerland, Lake of Zurich ,202
Sport Boat,Corsiva power boats,new boat from stock,2018.0,5.2,2.2,GRP,5500.0,Germany, Berlin ,186
Sport Boat,Ilver power boats,Used boat,1961.0,5.5,2.06,GRP,5500.0,Italy, emilia,74
Sport Boat,Skibsplast power boats,Used boat,1980.0,5.85,2.23,GRP,5841.0,Switzerland, Faoug ,543
Fishing Boat,Linder power boats,new boat from stock,2018.0,4.01,1.64,Aluminium,5399.0,Germany, Bayern ,67
Fishing Boat,Viking power boats,new boat from stock,2020.0,4.2,1.85,Aluminium,5200.0,Germany, Erftstadt,141
Sport Boat,Staempfli power boats,Used boat,1968.0,4.05,1.58,GRP,5445.0,Switzerland, Neuenburgersee ,278
Runabout,Kimple power boats,new boat from stock,2020.0,4.0,1.65,Aluminium,5445.0,Switzerland, Zugersee ,99
Deck Boat,Corsiva power boats,new boat from stock,2018.0,5.7,2.2,GRP,6500.0,Germany, Berlin ,122
Cabin Boat,Hille power boats,Unleaded,1994.0,4.75,1.86,GRP,6490.0,Germany, Verkaufshafen Brandenburg-Plaue,126
Sport Boat,Bienchen  power boats,Used boat,2018.0,3.2,1.5,GRP,6930.0,Switzerland, Murtensee ,238
Center console boat,Allegra power boats,Used boat,2018.0,5.3,2.2,GRP,8500.0,Italy, Lombardia - Trentino Alto Adige ,165
Trawler,Gouwerok power boats,Used boat,1980.0,8.5,3.0,Steel,9750.0,Netherlands, Sneek,183
Cabin Boat,Crescent power boats,Unleaded,1992.0,5.65,2.2,GRP,9599.0,Germany, Verkaufshafen Brandenburg-Plaue,185
Sport Boat,Sting power boats,new boat from stock,2016.0,4.88,2.03,GRP,9575.0,Germany, Grevenbroich,64
Motor Yacht,Moonday power boats,new boat from stock,2019.0,4.8,2.0,GRP,9553.0,Netherlands, Lemmer,91
Cabin Boat,Gouwerok power boats,Used boat,1964.0,8.4,2.85,Steel,9500.0,Netherlands, In verkoophaven,138
Pontoon Boat,MÃ¤ndli power boats,Used boat,2006.0,7.0,1.9,Wood,10890.0,Switzerland, Beringen,230
Sport Boat,Italmar power boats,new boat from stock,2020.0,4.99,2.1,GRP,10115.0,Germany, Wesel,115
Runabout,Safter Marine power boats,new boat on order,2020.0,4.5,1.65,GRP,10791.0,Switzerland, Zugersee ,159
Sport Boat,Bayliner power boats,Used boat,1988.0,6.3,2.34,GRP,11000.0,Italy, Friuli-Venezia Giulia,284
Cabin Boat,Stingray power boats,Used boat,1997.0,6.5,2.4,GRP,11000.0,Italy, Venezia,229
Sport Boat,Bayliner power boats,Used boat,1987.0,7.62,2.97,GRP,11000.0,Netherlands, In verkoophaven,254
